accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,threshold,pred_time,dataset
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676083,2258,3848,1,15,tf-idf_ngram,XGBoost,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.13968709784731018,0.5,0.0011610465531341782,SQLiV3.tsv
0.9207775236850703,0.8328369322412509,0.9841619005719313,0.9021980237951198,2237,3400,449,36,tf-idf_ngram,MultinomialNB,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.0008193970276296501,0.5,0.0008563306082218973,SQLiV3.tsv
0.9970597843841882,0.9995569339831635,0.9925208974923009,0.9960264900662251,2256,3848,1,17,tf-idf_ngram,SVM_RBF,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,6.58751364793636,0.5,1.8134519464244452,SQLiV3.tsv
0.9898725906566481,0.9981973862100045,0.9744830620325561,0.9861976847729297,2215,3845,4,58,tf-idf_ngram,MLPClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,2.056575238617642,0.5,0.005377623657533173,SQLiV3.tsv
0.980235217249265,0.9838129496402878,0.9626044874615046,0.9730931732265955,2188,3813,36,85,tf-idf_ngram,KNeighborsClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.00037828655836644816,0.5,30.497095991019663,SQLiV3.tsv
0.9596537079385822,0.9903194578896418,0.9001319841619005,0.9430744411154643,2046,3829,20,227,tf-idf_ngram,NearestCentroid,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.0017239280828253221,0.5,0.0011805080021745247,SQLiV3.tsv
0.8227703364913427,0.6863237139272271,0.9626044874615046,0.801318439846182,2188,2849,1000,85,tf-idf_ngram,RadiusNeighborsClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.00045550630989687547,0.5,30.527481904119263,SQLiV3.tsv
0.9955896765762823,0.9995551601423488,0.9885613726352838,0.9940278699402788,2247,3848,1,26,tf-idf_ngram,SVC-GC,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,15.627374656635695,0.5,3.1344790847735324,SQLiV3.tsv
0.9371120548840248,1.0,0.8306203255609327,0.9074741648642154,1888,3849,0,385,tf-idf_ngram,NuSVC,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,16.347015652755726,0.5,6.271795285853114,SQLiV3.tsv
0.9975498203201568,0.9995575221238938,0.9938407391113067,0.9966909331568498,2259,3848,1,14,tf-idf_ngram,LinearSVC,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.008797198801101021,0.5,0.00031418669834971545,SQLiV3.tsv
0.9870957203528259,0.9941441441441441,0.9709634843818742,0.9824170932561762,2207,3836,13,66,tf-idf_ngram,DecisionTreeClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.0758924803361461,0.5,0.0005714831666425187,SQLiV3.tsv
0.6287161058477622,0.0,0.0,0.0,0,3849,0,2273,tf-idf_ngram,RandomForestClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.003920451994722456,0.5,0.00303446243006562,SQLiV3.tsv
0.9955896765762823,0.9973427812223207,0.99076110866696,0.9940410505407196,2252,3843,6,21,tf-idf_ngram,AdaBoostClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.9165065159884874,0.5,0.02693393939256556,SQLiV3.tsv
0.9955896765762823,0.9991111111111111,0.989001319841619,0.9940305107229714,2248,3847,2,25,tf-idf_ngram,BaggingClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,3.0254602938275155,0.5,0.011287737662174667,SQLiV3.tsv
0.9977131656321464,1.0,0.9938407391113067,0.9969108561341571,2259,3849,0,14,tf-idf_ngram,ExtraTreesClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.8110826572064206,0.5,0.05807089872440102,SQLiV3.tsv
0.9968964390721986,0.9995567375886525,0.9920809502859657,0.995804813424597,2255,3848,1,18,tf-idf_ngram,RidgeClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.02757886968689682,0.5,0.0003403636114382785,SQLiV3.tsv
0.99640640313623,0.9995561473590768,0.99076110866696,0.9951391957578436,2252,3848,1,21,tf-idf_ngram,SGDClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.006088695348374959,0.5,0.00033656729676428184,SQLiV3.tsv
0.9972231296961778,0.9964788732394366,0.9960404751429829,0.9962596259625962,2264,3841,8,9,tf-idf_ngram,Perceptron,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.004405601338594489,0.5,0.0003201816405502216,SQLiV3.tsv
0.994609604704345,0.9991087344028521,0.9863616366036075,0.9926942661058225,2242,3847,2,31,tf-idf_ngram,LogisticRegression,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.03396421807453413,0.5,0.00037457415154365026,SQLiV3.tsv
0.9985298921920941,1.0,0.9960404751429829,0.9980163103372273,2264,3849,0,9,tf-idf_ngram,PassiveAggressiveClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.007399886102857302,0.5,0.00032994870920365874,SQLiV3.tsv
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676083,2258,3848,1,15,tf-idf_ngram,OneVsRestClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.13249516571935946,0.5,0.0013431478226335269,SQLiV3.tsv
0.9973864750081672,0.9995573262505534,0.9934007919049714,0.9964695498676083,2258,3848,1,15,tf-idf_ngram,OneVsOneClassifier,42,0.2,24487,6122,3.328139097953681,tf-idf_ngram,29216,0.13089492428541524,0.5,0.0022028580501770533,SQLiV3.tsv
0.9918327344005227,0.9968708091193563,0.9810822701275846,0.9889135254988914,2230,3842,7,43,tf-idf,XGBoost,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.02511758529007016,0.5,0.0008162863426913296,SQLiV3.tsv
0.982358706305129,0.9758241758241758,0.9766827980642323,0.9762532981530343,2220,3794,55,53,tf-idf,MultinomialNB,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.0004142690001730082,0.5,0.00021719324397338795,SQLiV3.tsv
0.8106827834041163,0.6690953248330298,0.9696436427628684,0.7918088737201366,2204,2759,1090,69,tf-idf,SVM_RBF,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,3.820904867807486,0.5,0.45458044561013466,SQLiV3.tsv
0.9730480235217249,0.997639282341832,0.9296084469863617,0.9624231382373035,2113,3844,5,160,tf-idf,MLPClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,1.5527242011692688,0.5,0.0006595124130474074,SQLiV3.tsv
0.5530872263966025,0.4536907381476295,0.9978002639683238,0.6237623762376238,2268,1118,2731,5,tf-idf,KNeighborsClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.00013826675395103502,0.5,0.2520544826900736,SQLiV3.tsv
0.934171839268213,0.9968119022316685,0.8253409590849098,0.9030084235860409,1876,3843,6,397,tf-idf,NearestCentroid,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.00035394474545058394,0.5,0.0004896019213936057,SQLiV3.tsv
0.6504410323423718,0.5151584226122635,0.9942806863176419,0.6786786786786787,2260,1722,2127,13,tf-idf,RadiusNeighborsClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.00014003769356874394,0.5,0.2822039168605983,SQLiV3.tsv
0.8034955896765763,0.6647167487684729,0.9498460184777827,0.7821046911791342,2159,2760,1089,114,tf-idf,SVC-GC,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,4.412889490954908,0.5,0.7137144967273629,SQLiV3.tsv
0.9114668409016661,0.9994229659549914,0.7619885613726353,0.8647029455816275,1732,3848,1,541,tf-idf,NuSVC,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,5.356110132970424,0.5,0.7948475707289956,SQLiV3.tsv
0.9848088859849722,0.9874776386404294,0.9714034315882094,0.9793745841650033,2208,3821,28,65,tf-idf,LinearSVC,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.005128200923038237,0.5,0.00016316923254121755,SQLiV3.tsv
0.9815419797451813,0.9958677685950413,0.954245490541135,0.9746124466412042,2169,3840,9,104,tf-idf,DecisionTreeClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.007220486338506037,0.5,0.00023388892586523414,SQLiV3.tsv
0.6287161058477622,0.0,0.0,0.0,0,3849,0,2273,tf-idf,RandomForestClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.0028884297364744375,0.5,0.0016077316295549065,SQLiV3.tsv
0.9928128062724599,0.9968791796700847,0.9837219533655961,0.9902568644818424,2236,3842,7,37,tf-idf,AdaBoostClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.09481053187367677,0.5,0.014331766096306115,SQLiV3.tsv
0.7874877491016008,0.6377551020408163,0.9898812142542894,0.7757283227029822,2250,2571,1278,23,tf-idf,BaggingClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,1.74620411953311,0.5,0.03490091800059587,SQLiV3.tsv
0.7969617771969945,0.6468072976054732,0.998240211174659,0.7849852966614772,2269,2610,1239,4,tf-idf,ExtraTreesClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,1.445988019681861,0.5,0.7632855135569125,SQLiV3.tsv
0.9776216922574322,0.992619926199262,0.9467663880334359,0.9691510920963746,2152,3833,16,121,tf-idf,RidgeClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.0049151243102773775,0.5,0.00016535201031752406,SQLiV3.tsv
0.9849722312969618,0.9954566106315311,0.9639243290805103,0.9794367456414842,2191,3839,10,82,tf-idf,SGDClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.005703557479470773,0.5,0.00015551307108113284,SQLiV3.tsv
0.9950996406403136,0.9955810870525851,0.9912010558732952,0.9933862433862434,2253,3839,10,20,tf-idf,Perceptron,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.002135434107698341,0.5,0.00016447484501774738,SQLiV3.tsv
0.9825220516171186,0.9963336388634281,0.9564452265728113,0.9759820426487092,2174,3841,8,99,tf-idf,LogisticRegression,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.013585686120666162,0.5,0.0001626577904817278,SQLiV3.tsv
0.9875857562887945,0.9862771137671537,0.9802023757149142,0.9832303618711387,2228,3818,31,45,tf-idf,PassiveAggressiveClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.004285021358110169,0.5,0.00015161924288699106,SQLiV3.tsv
0.9918327344005227,0.9968708091193563,0.9810822701275846,0.9889135254988914,2230,3842,7,43,tf-idf,OneVsRestClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.025586109202424823,0.5,0.0010385514496819854,SQLiV3.tsv
0.9918327344005227,0.9968708091193563,0.9810822701275846,0.9889135254988914,2230,3842,7,43,tf-idf,OneVsOneClassifier,42,0.2,24487,6122,0.37298838200513273,tf-idf,21019,0.02610044374672299,0.5,0.0017137992418194978,SQLiV3.tsv
