accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,threshold,pred_time,dataset
0.9545454545454546,1.0,0.8571428571428571,0.923076923076923,6,15,0,1,tf-idf_ngram,XGBoost,42,0.2,88,22,0.0408613999999998,tf-idf_ngram,2145,1.3268477272727317,0.5,0.2660136363636328,toy.tsv
0.7272727272727273,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,12,3,3,tf-idf_ngram,MultinomialNB,42,0.2,88,22,0.0408613999999998,tf-idf_ngram,2145,0.0480625000000012,0.5,0.0403272727272817,toy.tsv
0.8636363636363636,0.7,1.0,0.8235294117647058,7,12,3,0,tf-idf_ngram,KNeighborsClassifier,42,0.2,88,22,0.0408613999999998,tf-idf_ngram,2145,0.0222897727272746,0.5,0.4451727272727155,toy.tsv
0.9090909090909092,1.0,0.7142857142857143,0.8333333333333333,5,15,0,2,tf-idf,XGBoost,42,0.2,88,22,0.0143428999999999,tf-idf,285,0.7721727272727321,0.5,0.2165000000000234,toy.tsv
1.0,1.0,1.0,1.0,7,15,0,0,tf-idf,MultinomialNB,42,0.2,88,22,0.0143428999999999,tf-idf,285,0.0474340909090961,0.5,0.0443318181817935,toy.tsv
0.6818181818181818,0.5,1.0,0.6666666666666666,7,8,7,0,tf-idf,KNeighborsClassifier,42,0.2,88,22,0.0143428999999999,tf-idf,285,0.0167977272727195,0.5,0.3466363636363697,toy.tsv
0.9545454545454546,1.0,0.9,0.9473684210526316,9,12,0,1,tf-idf_ngram,XGBoost,20,0.2,88,22,0.034756800000000254,tf-idf_ngram,1995,1.196080681818181,0.5,0.22204090909088753,toy.tsv
0.8181818181818182,1.0,0.6,0.7499999999999999,6,12,0,4,tf-idf_ngram,MultinomialNB,20,0.2,88,22,0.034756800000000254,tf-idf_ngram,1995,0.0416761363636331,0.5,0.03386363636364626,toy.tsv
0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,10,10,2,0,tf-idf_ngram,KNeighborsClassifier,20,0.2,88,22,0.034756800000000254,tf-idf_ngram,1995,0.022799999999999588,0.5,0.33916363636363944,toy.tsv
0.9545454545454546,1.0,0.9,0.9473684210526316,9,12,0,1,tf-idf,XGBoost,20,0.2,88,22,0.014899199999999446,tf-idf,267,0.8236386363636389,0.5,0.2065727272727277,toy.tsv
0.9090909090909091,1.0,0.8,0.888888888888889,8,12,0,2,tf-idf,MultinomialNB,20,0.2,88,22,0.014899199999999446,tf-idf,267,0.029144318181815378,0.5,0.028163636363648884,toy.tsv
0.6818181818181818,0.5882352941176471,1.0,0.7407407407407407,10,5,7,0,tf-idf,KNeighborsClassifier,20,0.2,88,22,0.014899199999999446,tf-idf,267,0.023760227272734916,0.5,0.3106272727272677,toy.tsv
